总价,单价,小区名称,所在区域,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,用水类型,用电类型,燃气价格,别墅类型,区,板块,楼层位置,总楼层数,室数,厅数,厨数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数
599万,34133元/平米,万科东晟府,鄞州区 高新区,4室2厅1厨3卫,高楼层 (共32层),175.49㎡,平层,,板塔结合,南,混合结构,其他,两梯两户,有,2023-04-10,商品房,2019-04-19,普通住宅,暂无数据,非共有,有抵押 400万元 建设 业主自还,已上传房本照片,202304103302120153,,,,,鄞州区,高新区,高楼层,32,4,2,1,3,35.098,5.317878787878788,0.4,0.6,9,3,4,2711766.8711656444,2500000.0,1329556.3519404833,978,2.2088911310189756
199万,22446元/平米,星旅城二期,江北区 洪塘,3室2厅1厨1卫,低楼层 (共26层),88.66㎡,平层,,板塔结合,南,钢混结构,精装,两梯四户,有,2023-09-14,商品房,2020-12-14,普通住宅,满两年,共有,暂无数据,已上传房本照片,202309163302050006,,,,,江北区,洪塘,低楼层,26,3,2,1,1,22.165,3.283703703703704,0.5,0.25,6,2,1,2374983.935742972,2080000.0,1266402.7666910856,249,0.8379000515123115
125万,14301元/平米,慈湖人家二期西区,江北区 慈城,3室2厅1厨1卫,中楼层 (共5层),87.41㎡,平层,,板楼,南,钢混结构,精装,一梯两户,无,2023-01-30,商品房,2020-03-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,20230202330205002673002A,,,,,江北区,慈城,中楼层,5,3,2,1,1,21.8525,14.568333333333333,0.5,0.25,6,1,1,2374983.935742972,2080000.0,1266402.7666910856,249,0.5263191278343665
92万,7159元/平米,翠湖苑,杭州湾新区 杭州湾新区,3室2厅1厨1卫,中楼层 (共33层),128.52㎡,平层,,板楼,南,钢混结构,精装,两梯两户,有,2023-08-27,商品房,2018-08-01,普通住宅,暂无数据,共有,有抵押 54万元 平安银行 客户偿还,已上传房本照片,20230827330282010009,,,,,杭州湾新区,杭州湾新区,中楼层,33,3,2,1,1,32.13,3.7800000000000002,0.5,0.25,6,0,3,853969.1358024691,830000.0,286526.62766007404,162,1.0773210460521352
138万,16768元/平米,鸿翔锦园,北仑区 新碶,2室1厅1厨2卫,中楼层 (共7层),82.30㎡,复式,,板楼,南,砖混结构,精装,一梯十六户,无,2023-09-13,商品房,2021-01-15,普通住宅,满两年,非共有,无抵押,已上传房本照片,202108013302060006,,,,,北仑区,新碶,中楼层,7,2,1,1,2,27.433333333333334,10.2875,0.3333333333333333,0.6666666666666666,5,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.7358565380000056
378万,27646元/平米,姚景花园,江北区 江北万达,4室2厅1厨2卫,低楼层 (共11层),136.73㎡,平层,,板楼,南,钢混结构,毛坯,一梯两户,有,2022-03-07,商品房,2018-07-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202203073302050009,,,,,江北区,江北万达,低楼层,11,4,2,1,2,27.345999999999997,11.394166666666665,0.4,0.4,8,3,3,2374983.935742972,2080000.0,1266402.7666910856,249,1.5915890425711243
176万,17984元/平米,庄湾沁园,海曙区 石碶,3室2厅1厨1卫,中楼层 (共14层),97.87㎡,平层,,板楼,南,钢混结构,毛坯,两梯四户,有,2022-02-22,拆迁安置房,2017-02-22,普通住宅,满五年,非共有,有抵押 40万元 业主自还,已上传房本照片,202111203302030025,,,,,海曙区,石碶,中楼层,14,3,2,1,1,24.4675,6.524666666666667,0.5,0.25,6,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,0.8592957235657293
215万,18641元/平米,碧桂园碧玥府,海曙区 集士港,3室2厅1厨2卫,低楼层 (共11层),115.34㎡,平层,,板塔结合,南,钢混结构,毛坯,两梯两户,有,2023-05-13,商品房,2019-06-29,普通住宅,满两年,非共有,无抵押,已上传房本照片,202305133302030013,,,,,海曙区,集士港,低楼层,11,3,2,1,2,28.835,9.611666666666666,0.5,0.5,7,1,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.0497078441285896
169万,19023元/平米,富力御官山,江北区 慈城,3室2厅1厨1卫,低楼层 (共8层),88.84㎡,平层,,板楼,南,钢混结构,精装,一梯六户,暂无数据,2023-07-23,商品房,2020-03-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,202307233302050005,,,,,江北区,慈城,低楼层,8,3,2,1,1,22.21,9.871111111111112,0.5,0.25,6,1,1,2374983.935742972,2080000.0,1266402.7666910856,249,0.7115834608320635
70万,14318元/平米,华城花园,鄞州区 新明,3室1厅1厨2卫,高楼层 (共25层),48.89㎡,复式,36.34㎡,塔楼,西,钢混结构,精装,四梯十九户,有,2021-07-31,商品房,2021-08-01,商住两用,暂无数据,共有,无抵押,已上传房本照片,20218073302120012,商水,民电,2.95元/m3,,鄞州区,新明,高楼层,25,3,1,1,2,12.2225,1.8803846153846153,0.25,0.5,6,1,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.2581341889337701
