单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
16327.0,98.0,5,3,2,1,1,45,0,17,3,4,3,0,4,0,0,1600000.0
38898.0,133.17,33,3,2,2,8,61,2,20,3,5,5,0,4,2,0,5180000.0
35028.0,29.12,4,1,1,1,9,40,2,17,2,5,4,0,4,1,1,1020000.0
23886.0,91.27,26,2,2,1,8,89,2,17,3,5,5,2,4,2,1,2180000.0
26419.0,166.55,6,4,2,3,8,31,2,13,1,0,5,0,4,1,1,4400000.0
17984.0,97.87,14,3,2,1,6,70,0,17,1,5,5,2,4,2,1,1760000.0
30236.0,107.49,33,3,2,1,8,8,1,17,3,4,5,0,4,2,0,3250000.0
14616.0,136.84,26,4,1,2,2,28,1,17,1,1,1,0,4,2,0,2000000.0
18601.0,112.9,18,3,2,1,6,56,1,20,3,5,5,0,4,2,0,2100000.0
15685.0,154.93,5,5,2,2,9,35,2,20,3,5,5,0,4,0,1,2430000.0
22481.0,92.97,19,3,2,1,9,35,1,17,3,2,5,0,4,1,1,2090000.0
22607.0,56.62,6,2,1,1,8,6,0,17,3,5,4,2,4,0,1,1280000.0
20703.0,94.19,24,2,2,1,8,61,1,17,3,0,5,0,4,2,0,1950000.0
24953.0,58.11,18,2,1,1,8,86,0,17,2,5,5,2,4,2,1,1450000.0
22756.0,72.51,14,2,1,1,9,87,0,17,3,4,5,0,4,2,1,1650000.0
19836.0,110.91,20,3,1,1,9,87,1,17,3,4,5,0,4,2,1,2200000.0
16591.0,131.4,5,3,1,2,0,7,0,17,0,5,4,0,4,0,1,2180000.0
5915.0,87.75,33,2,1,1,4,51,1,17,2,4,5,0,4,2,0,519000.0
17234.0,185.69,29,5,2,2,9,87,2,17,0,4,5,0,4,2,1,3200000.0
26773.0,47.81,6,1,1,1,8,86,1,17,3,5,6,2,4,0,0,1280000.0
16252.0,127.99,11,4,2,2,6,55,0,17,1,5,5,0,4,1,1,2080000.0
22547.0,84.27,6,3,1,1,9,40,2,17,3,4,5,0,4,0,1,1900000.0
36400.0,90.11,18,3,2,1,8,17,0,17,3,4,5,0,4,2,0,3280000.0
